date,srcip,dstip,srcport,dstport,proto,ts,td,pkt,byt,type
2016-04-06 17:16:31,3564129267,719035635,38180,22001,TCP,1459962991668000.0,301.332,32,1792,background
2016-04-06 17:16:31,3543454295,719032690,16136,80,TCP,1459962991704000.0,300.296,17,3883,background
2016-04-06 17:16:31,3496697850,719035635,39958,22001,TCP,1459962991736000.0,306.264,32,1792,background
2016-04-06 17:16:31,1137623326,719035635,37450,22001,TCP,1459962991972000.0,302.028,32,1792,background
2016-04-06 17:16:31,719036116,3499070563,64105,65376,UDP,1459962991972000.0,300.028,139,19638,background
2016-04-06 17:16:32,3494300995,719036357,0,0,ICMP,1459962992008000.0,298.992,32,1024,background
2016-04-06 17:16:32,3382866443,719035635,33206,22001,TCP,1459962992020000.0,301.98,32,1792,background
2016-04-06 17:16:32,2968793991,719036242,57975,8000,TCP,1459962992048000.0,299.952,6,504,background
2016-04-06 17:16:32,2968793991,719036242,57971,8000,TCP,1459962992056000.0,299.944,6,504,background
2016-04-06 17:16:32,2968793991,719036242,57972,8000,TCP,1459962992056000.0,299.944,6,504,background
2016-04-06 17:16:32,2968793991,719036242,57973,8000,TCP,1459962992056000.0,299.944,6,504,background
2016-04-06 17:16:32,2968793991,719036242,57974,8000,TCP,1459962992056000.0,299.944,6,504,background
2016-04-06 17:16:32,1160449115,719035635,50603,22001,TCP,1459962992176000.0,301.824,32,1792,background
2016-04-06 17:16:32,3642343491,719035635,54691,40003,TCP,1459962992328000.0,301.672,32,1792,background
2016-04-06 17:16:32,719036116,1202982737,64105,60592,UDP,1459962992444000.0,300.556,146,20292,background
2016-04-06 17:16:32,3544115111,719036116,57520,64105,UDP,1459962992544000.0,303.456,61,8442,background
2016-04-06 17:16:32,3634312540,719035635,55272,22011,TCP,1459962992580000.0,302.42,32,1792,background
2016-04-06 17:16:32,719034665,637339545,0,0,GRE,1459962992664000.0,300.336,22,836,background
2016-04-06 17:16:32,3564567202,719035635,58266,22001,TCP,1459962992748000.0,301.252,32,1792,background
2016-04-06 17:16:32,1053584650,719035137,52986,1723,TCP,1459962992780000.0,300.22,12,576,background
2016-04-06 17:16:32,637339545,719034665,0,0,GRE,1459962992784000.0,300.216,11,528,background
2016-04-06 17:16:32,618839282,719035635,50256,40003,TCP,1459962992804000.0,301.196,32,1792,background
2016-04-06 17:16:32,2236963474,719035635,36447,22001,TCP,1459962992816000.0,301.184,32,1792,background
2016-04-06 17:16:32,1039525680,719036116,43000,64105,UDP,1459962992852000.0,300.148,133,18138,background
2016-04-06 17:16:32,3496697850,719035635,42468,22011,TCP,1459962992876000.0,306.124,32,1792,background
2016-04-06 17:16:32,1922681294,719035635,47958,40003,TCP,1459962992916000.0,302.084,32,1792,background
2016-04-06 17:16:32,707248946,719036342,43712,1723,TCP,1459962992932000.0,300.068,12,720,background
2016-04-06 17:16:32,719036342,707248946,1723,43712,TCP,1459962992936000.0,300.064,6,432,background
2016-04-06 17:16:33,719034713,3144065327,62812,443,TCP,1459962993008000.0,299.992,13,1222,background
2016-04-06 17:16:33,3748719702,719035635,60457,40004,TCP,1459962993164000.0,304.836,32,1792,background
2016-04-06 17:16:33,3746996569,719035635,38851,22001,TCP,1459962993220000.0,301.78,32,1792,background
2016-04-06 17:16:33,3634312540,719035635,36441,22001,TCP,1459962993232000.0,301.768,32,1792,background
2016-04-06 17:16:33,2201700308,719035655,49277,443,TCP,1459962993324000.0,304.676,7,389,background
2016-04-06 17:16:33,2201700308,719035655,49272,443,TCP,1459962993328000.0,304.672,7,389,background
2016-04-06 17:16:33,719036341,3117530817,35893,443,TCP,1459962993636000.0,302.3640000000001,9,468,background
2016-04-06 17:16:33,719034713,4028574583,10055,443,TCP,1459962993648000.0,305.3520000000001,33,4618,background
2016-04-06 17:16:33,3117530817,719036341,443,35893,TCP,1459962993700000.0,302.3,9,468,background
2016-04-06 17:16:33,2842518977,719035635,48084,22001,TCP,1459962993716000.0,301.284,32,1792,background
2016-04-06 17:16:33,1159427324,719035635,28525,22001,TCP,1459962993756000.0,301.244,32,1792,background
2016-04-06 17:16:33,3564567202,719035635,49631,22011,TCP,1459962993800000.0,302.2,32,1792,background
2016-04-06 17:16:33,3390646354,719035635,53554,22001,TCP,1459962993820000.0,301.18,32,1792,background
2016-04-06 17:16:33,1712432808,719035635,48790,22001,TCP,1459962993860000.0,301.14,32,1792,background
2016-04-06 17:16:33,2403862665,719036229,53,32776,UDP,1459962993896000.0,242.104,20,2660,background
2016-04-06 17:16:33,4028574583,719034713,443,10055,TCP,1459962993908000.0,305.092,33,6331,background
2016-04-06 17:16:33,3593447951,719035635,54517,22001,TCP,1459962993944000.0,302.056,32,1792,background
2016-04-06 17:16:33,3742229193,719035635,55402,22001,TCP,1459962993956000.0,302.0440000000001,32,1792,background
2016-04-06 17:16:33,1335903327,719035635,55712,40003,TCP,1459962993972000.0,304.028,44,2696,background
2016-04-06 17:16:33,2206875872,719035672,32768,51215,UDP,1459962993996000.0,300.004,65,8066,background
2016-04-06 17:16:34,2782107209,719035635,58159,22011,TCP,1459962994000000.0,302.0,32,1792,background
2016-04-06 17:16:34,3564565950,719035635,28245,22001,TCP,1459962994012000.0,301.988,32,1792,background
2016-04-06 17:16:34,719036341,400792032,34284,5678,UDP,1459962994012000.0,299.988,6,1068,background
2016-04-06 17:16:34,3634312646,719035635,34009,22001,TCP,1459962994336000.0,301.664,32,1792,background
2016-04-06 17:16:34,624993442,719035635,40729,22011,TCP,1459962994340000.0,302.66,32,1792,background
2016-04-06 17:16:34,3575760785,719035635,52530,22011,TCP,1459962994344000.0,302.656,32,1792,background
2016-04-06 17:16:34,3222673500,719036245,5228,53310,TCP,1459962994408000.0,301.592,11,935,background
2016-04-06 17:16:34,618812349,719035635,53287,22011,TCP,1459962994464000.0,302.536,32,1792,background
2016-04-06 17:16:34,3680961037,719035635,34704,22001,TCP,1459962994652000.0,302.348,33,1852,background
2016-04-06 17:16:34,3391660713,719035635,52672,22011,TCP,1459962994708000.0,304.2920000000001,34,1916,background
2016-04-06 17:16:34,3626934396,719035635,57504,22002,TCP,1459962994788000.0,303.212,74,3976,background
2016-04-06 17:16:34,3542552955,719035635,52674,22001,TCP,1459962994824000.0,301.176,32,1792,background
2016-04-06 17:16:34,732180913,719036245,443,46293,TCP,1459962994832000.0,304.168,62,9968,background
2016-04-06 17:16:34,3680961037,719035635,57421,22011,TCP,1459962994960000.0,303.04,32,1792,background
2016-04-06 17:16:34,3496494310,719035195,0,0,ICMP,1459962994960000.0,300.04,11,352,background
2016-04-06 17:16:35,2659247591,719035635,28553,22001,TCP,1459962995068000.0,304.932,31,1740,background
2016-04-06 17:16:35,3593447951,719035635,38610,22001,TCP,1459962995104000.0,301.896,32,1792,background
2016-04-06 17:16:35,1340999654,719035635,60662,22011,TCP,1459962995424000.0,302.576,32,1792,background
2016-04-06 17:16:35,1285796482,719035195,49173,1723,TCP,1459962995724000.0,300.276,12,576,background
2016-04-06 17:16:35,719034665,718139228,443,60586,TCP,1459962995812000.0,304.188,14,4916,background
2016-04-06 17:16:35,3626590834,719035635,44948,22001,TCP,1459962995864000.0,301.136,32,1792,background
2016-04-06 17:16:35,2966354168,719036341,161,51109,UDP,1459962995872000.0,301.128,361,26708,background
2016-04-06 17:16:35,719036341,2966354168,51109,161,UDP,1459962995872000.0,301.128,361,26708,background
2016-04-06 17:16:35,719036341,1106726266,50841,443,TCP,1459962995936000.0,300.064,12,1182,background
2016-04-06 17:16:35,2768913444,719036342,57283,1723,TCP,1459962995972000.0,285.028,15,600,background
2016-04-06 17:16:35,719036342,2768913444,1723,57283,TCP,1459962995972000.0,285.028,15,780,background
2016-04-06 17:16:35,3383531721,719035635,42693,22011,TCP,1459962995980000.0,302.02,32,1792,background
2016-04-06 17:16:35,3572524080,719035635,45466,22011,TCP,1459962995984000.0,302.016,32,1792,background
2016-04-06 17:16:36,3626590834,719035635,46394,22011,TCP,1459962996052000.0,301.948,32,1792,background
2016-04-06 17:16:36,3383572175,719035635,55957,22001,TCP,1459962996076000.0,301.9240000000001,32,1792,background
2016-04-06 17:16:36,3681201828,719035635,39079,22011,TCP,1459962996312000.0,302.688,32,1792,background
2016-04-06 17:16:36,1137623134,719035635,43279,22011,TCP,1459962996432000.0,302.568,32,1792,background
2016-04-06 17:16:36,719034713,958989754,55277,21,TCP,1459962996564000.0,300.436,12,516,background
2016-04-06 17:16:36,719034713,958989754,55278,21,TCP,1459962996568000.0,300.432,28,1244,background
2016-04-06 17:16:36,2653057583,719035635,37242,22001,TCP,1459962996580000.0,301.42,32,1792,background
2016-04-06 17:16:36,719034713,633356866,49612,40026,TCP,1459962996608000.0,300.392,39,7208,background
2016-04-06 17:16:36,719036341,958989754,60821,22,TCP,1459962996692000.0,301.308,11,584,background
2016-04-06 17:16:36,3564110548,719035635,59960,22001,TCP,1459962996740000.0,301.26,32,1792,background
2016-04-06 17:16:36,1247675873,719034665,57858,443,TCP,1459962996784000.0,304.216,11,440,background
2016-04-06 17:16:36,719034665,1247675873,443,57858,TCP,1459962996792000.0,304.208,11,4334,background
2016-04-06 17:16:36,630232857,719036106,49211,443,TCP,1459962996796000.0,304.204,11,440,background
2016-04-06 17:16:36,719036106,630232857,443,51651,TCP,1459962996808000.0,304.192,11,4334,background
2016-04-06 17:16:36,719036106,630232857,443,49211,TCP,1459962996812000.0,304.188,11,4334,background
2016-04-06 17:16:36,637339545,719034665,57410,1723,TCP,1459962996828000.0,300.172,12,720,background
2016-04-06 17:16:36,719034683,2246140953,443,51645,TCP,1459962996840000.0,260.16,61,15987,background
2016-04-06 17:16:36,719034665,637339545,1723,57410,TCP,1459962996852000.0,300.148,6,432,background
2016-04-06 17:16:36,630232857,719036106,51651,443,TCP,1459962996868000.0,304.132,11,440,background
2016-04-06 17:16:36,3736129833,719035635,34234,22001,TCP,1459962996900000.0,301.1,32,1792,background
2016-04-06 17:16:36,2842497832,719035635,33579,22001,TCP,1459962996904000.0,301.096,32,1792,background
2016-04-06 17:16:36,3510592743,719035635,47159,22001,TCP,1459962996912000.0,301.088,32,1792,background
2016-04-06 17:16:36,2246140953,719034683,51645,443,TCP,1459962996968000.0,260.032,32,9867,background
2016-04-06 17:16:36,1059904110,719035635,52414,22001,TCP,1459962996980000.0,301.02,32,1792,background
2016-04-06 17:16:37,3496940448,719036341,0,0,ICMP,1459962997000000.0,300.0,11,352,background
2016-04-06 17:16:37,621265703,719036341,0,0,ICMP,1459962997000000.0,300.0,11,352,background
2016-04-06 17:16:37,719036341,3496940448,0,2048,ICMP,1459962997000000.0,300.0,11,352,background
2016-04-06 17:16:37,719036341,621265703,0,2048,ICMP,1459962997000000.0,300.0,11,352,background
2016-04-06 17:16:37,3117530817,719036250,443,55428,TCP,1459962997216000.0,300.784,9,468,background
2016-04-06 17:16:37,3382866443,719035635,32852,22011,TCP,1459962997440000.0,302.56,32,1792,background
2016-04-06 17:16:37,3626732371,719035661,3231,49153,TCP,1459962997584000.0,296.416,83,4544,background
2016-04-06 17:16:37,3606171246,719035249,46305,449,TCP,1459962997664000.0,300.336,170,27972,background
2016-04-06 17:16:37,3177424724,719035631,443,41325,TCP,1459962997700000.0,301.3,11,572,background
2016-04-06 17:16:37,3627788584,719035635,36331,40003,TCP,1459962997764000.0,301.236,32,1792,background
2016-04-06 17:16:37,1009621082,719036245,443,26949,TCP,1459962997824000.0,301.176,17,1070,background
2016-04-06 17:16:37,2842518977,719035635,41953,22001,TCP,1459962997828000.0,301.172,32,1792,background
2016-04-06 17:16:37,2961271300,719034715,39471,5068,TCP,1459962997852000.0,300.148,12,3954,background
2016-04-06 17:16:37,2236963576,719035635,47016,22001,TCP,1459962997876000.0,301.124,32,1792,background
2016-04-06 17:16:37,719034715,2961271300,5068,39471,TCP,1459962997876000.0,300.124,6,2842,background
2016-04-06 17:16:37,3572507097,719035635,45549,22001,TCP,1459962997940000.0,301.06,32,1792,background
2016-04-06 17:16:37,2236963576,719035635,50775,22011,TCP,1459962997964000.0,302.036,32,1792,background
2016-04-06 17:16:37,2236963576,719035635,36275,22011,TCP,1459962997968000.0,302.032,32,1792,background
2016-04-06 17:16:37,3626827897,719035635,42251,22001,TCP,1459962997988000.0,285.012,30,1680,background
2016-04-06 17:16:37,2777010863,719035154,0,2048,ICMP,1459962997996000.0,301.004,22,704,background
2016-04-06 17:16:38,3652216552,719036242,44914,8000,TCP,1459962998004000.0,299.996,6,504,background
2016-04-06 17:16:38,3652216552,719036242,44913,8000,TCP,1459962998004000.0,299.996,6,504,background
2016-04-06 17:16:38,3652216552,719036242,44912,8000,TCP,1459962998004000.0,299.996,6,504,background
2016-04-06 17:16:38,3652216552,719036242,44922,8000,TCP,1459962998004000.0,299.996,6,504,background
2016-04-06 17:16:38,2777010863,719035167,0,2048,ICMP,1459962998008000.0,300.992,22,704,background
2016-04-06 17:16:38,3391674171,719035062,53290,143,TCP,1459962998008000.0,303.992,81,6367,background
2016-04-06 17:16:38,3652216552,719036242,44909,8000,TCP,1459962998008000.0,299.992,6,504,background
2016-04-06 17:16:38,3652216552,719036242,44908,8000,TCP,1459962998008000.0,299.992,6,504,background
2016-04-06 17:16:38,3383641220,719036341,0,0,ICMP,1459962998008000.0,299.992,11,352,background
2016-04-06 17:16:38,2777010863,719035155,0,2048,ICMP,1459962998008000.0,299.992,11,352,background
2016-04-06 17:16:38,719036341,3383641220,0,2048,ICMP,1459962998008000.0,299.992,11,352,background
2016-04-06 17:16:38,2777010863,719035158,0,2048,ICMP,1459962998012000.0,299.988,11,352,background
2016-04-06 17:16:38,3652216552,719036242,44907,8000,TCP,1459962998016000.0,299.9840000000001,6,504,background
2016-04-06 17:16:38,719036341,3506382666,0,2048,ICMP,1459962998016000.0,300.9840000000001,22,704,background
2016-04-06 17:16:38,3496494310,719036341,0,0,ICMP,1459962998016000.0,299.9840000000001,11,352,background
2016-04-06 17:16:38,719036341,3496494310,0,2048,ICMP,1459962998016000.0,299.9840000000001,11,352,background
2016-04-06 17:16:38,1160756348,719035635,39070,40003,TCP,1459962998048000.0,301.952,32,1792,background
2016-04-06 17:16:38,3652216552,719036242,44919,8000,TCP,1459962998064000.0,299.936,6,504,background
2016-04-06 17:16:38,719036116,1245367025,64105,63300,UDP,1459962998068000.0,299.932,142,19932,background
2016-04-06 17:16:38,3652216552,719036242,44915,8000,TCP,1459962998068000.0,299.932,6,504,background
2016-04-06 17:16:38,1137626096,719035635,33905,22001,TCP,1459962998068000.0,301.932,32,1792,background
2016-04-06 17:16:38,719036341,1061206048,49210,4070,TCP,1459962998076000.0,299.9240000000001,11,647,background
2016-04-06 17:16:38,1137626096,719035635,60171,22001,TCP,1459962998084000.0,301.916,32,1792,background
2016-04-06 17:16:38,1061206048,719036341,4070,49210,TCP,1459962998168000.0,299.832,7,538,background
2016-04-06 17:16:38,719035062,3391674171,143,53290,TCP,1459962998180000.0,303.82,110,100539,background
2016-04-06 17:16:38,3575761617,719035635,40003,22011,TCP,1459962998316000.0,302.684,32,1792,background
2016-04-06 17:16:38,618812349,719035635,55542,22001,TCP,1459962998368000.0,301.632,32,1792,background
2016-04-06 17:16:38,3543534537,719035635,40681,22011,TCP,1459962998396000.0,302.6040000000001,32,1792,background
2016-04-06 17:16:38,2958053950,719035635,44067,22011,TCP,1459962998436000.0,302.564,32,1792,background
2016-04-06 17:16:38,719035631,1162771884,80,27283,TCP,1459962998596000.0,291.404,30,1560,background
2016-04-06 17:16:38,3561938577,719035635,42886,22001,TCP,1459962998720000.0,302.28,33,1852,background
2016-04-06 17:16:38,3626827897,719035635,48382,22001,TCP,1459962998744000.0,285.256,30,1680,background
2016-04-06 17:16:38,2236963474,719035635,44383,22011,TCP,1459962998748000.0,302.252,32,1792,background
2016-04-06 17:16:38,719036341,2037029777,54059,443,TCP,1459962998788000.0,300.212,18,11838,background
2016-04-06 17:16:38,1050840638,719034823,56973,1723,TCP,1459962998788000.0,300.212,12,720,background
2016-04-06 17:16:38,2236963474,719035635,32774,22011,TCP,1459962998808000.0,302.192,32,1792,background
2016-04-06 17:16:38,3627784520,719035635,46109,40003,TCP,1459962998812000.0,301.188,32,1792,background
2016-04-06 17:16:38,719034823,1050840638,1723,56973,TCP,1459962998820000.0,300.18,6,432,background
2016-04-06 17:16:38,2842648661,719035635,44543,22001,TCP,1459962998840000.0,301.16,32,1792,background
2016-04-06 17:16:38,719034713,1061206139,62842,4070,TCP,1459962998844000.0,300.156,9,393,background
2016-04-06 17:16:38,3515300958,719035635,60734,22002,TCP,1459962998848000.0,300.152,26,1070,background
2016-04-06 17:16:38,1335903327,719035635,55408,40003,TCP,1459962998864000.0,301.136,32,1792,background
2016-04-06 17:16:38,3383134332,719035635,43207,22001,TCP,1459962998872000.0,285.128,30,1680,background
2016-04-06 17:16:38,2821316043,719035635,34439,40003,TCP,1459962998900000.0,302.1,32,1792,background
2016-04-06 17:16:38,3564567202,719035635,45242,22001,TCP,1459962998948000.0,301.052,32,1792,background
2016-04-06 17:16:38,3509606405,719036341,0,0,ICMP,1459962998996000.0,300.004,11,352,background
2016-04-06 17:16:38,2777010863,719035218,0,2048,ICMP,1459962998996000.0,300.004,11,352,background
2016-04-06 17:16:39,719036341,3509606405,0,2048,ICMP,1459962999000000.0,300.0,11,352,background
2016-04-06 17:16:39,3746996569,719035635,35536,22001,TCP,1459962999000000.0,302.0,32,1792,background
2016-04-06 17:16:39,719036341,3383165339,0,2048,ICMP,1459962999000000.0,300.0,11,352,background
2016-04-06 17:16:39,3383165339,719036341,0,0,ICMP,1459962999000000.0,300.0,11,352,background
2016-04-06 17:16:39,2777010863,719035156,0,2048,ICMP,1459962999008000.0,299.992,11,352,background
2016-04-06 17:16:39,2777010863,719035153,0,2048,ICMP,1459962999012000.0,300.988,22,704,background
2016-04-06 17:16:39,719036252,1050850509,55989,80,TCP,1459962999056000.0,311.944,4228,220144,background
2016-04-06 17:16:39,3626289598,719035635,46797,40003,TCP,1459962999060000.0,301.94,32,1792,background
2016-04-06 17:16:39,1061206139,719034713,4070,62842,TCP,1459962999124000.0,299.876,6,306,background
2016-04-06 17:16:39,1340892490,719035635,33796,22001,TCP,1459962999144000.0,301.856,32,1792,background
2016-04-06 17:16:39,1137623134,719035635,45568,22001,TCP,1459962999176000.0,301.824,32,1792,background
2016-04-06 17:16:39,3593447951,719035635,43151,22011,TCP,1459962999220000.0,302.78,32,1792,background
2016-04-06 17:16:39,3593447951,719035635,41799,22011,TCP,1459962999232000.0,302.768,32,1792,background
2016-04-06 17:16:39,3543534537,719035635,46641,22011,TCP,1459962999408000.0,302.592,32,1792,background
2016-04-06 17:16:39,3383361396,719035635,37175,22011,TCP,1459962999444000.0,302.556,32,1792,background
2016-04-06 17:16:39,3493870167,719036357,161,58498,UDP,1459962999664000.0,300.336,1232,96312,background
2016-04-06 17:16:39,719034999,3177424723,33230,443,TCP,1459962999712000.0,300.288,25,19552,background
2016-04-06 17:16:39,2236963474,719035635,36307,22001,TCP,1459962999716000.0,301.284,32,1792,background
2016-04-06 17:16:39,1718638843,719035635,41755,22001,TCP,1459962999764000.0,301.236,32,1792,background
2016-04-06 17:16:39,3564129267,719035635,41584,22001,TCP,1459962999812000.0,301.188,32,1792,background
2016-04-06 17:16:39,3564553392,719035635,57482,22011,TCP,1459962999856000.0,302.144,32,1792,background
2016-04-06 17:16:39,3383628244,719034741,53625,35617,UDP,1459962999892000.0,300.108,62,7564,background
2016-04-06 17:16:39,3748704652,719035635,39200,22001,TCP,1459962999900000.0,301.1,32,1792,background
2016-04-06 17:16:39,3572524282,719035635,49444,22001,TCP,1459962999908000.0,301.092,32,1792,background
2016-04-06 17:16:39,3564110645,719035635,46897,22001,TCP,1459962999932000.0,301.068,32,1792,background
2016-04-06 17:16:39,719034741,3383628244,35617,53625,UDP,1459962999940000.0,300.06,45,5290,background
2016-04-06 17:16:39,2659247591,719035635,28555,22011,TCP,1459962999976000.0,286.024,33,1864,background
2016-04-06 17:16:40,3542367597,719035635,47853,22001,TCP,1459963000008000.0,301.992,32,1792,background
2016-04-06 17:16:40,719034999,3177424725,35863,443,TCP,1459963000016000.0,299.9840000000001,34,31036,background
2016-04-06 17:16:40,3177424725,719034999,443,35863,TCP,1459963000016000.0,299.9840000000001,26,1679,background
2016-04-06 17:16:40,3383134332,719035635,53875,22011,TCP,1459963000028000.0,285.972,30,1680,background
2016-04-06 17:16:40,3627784520,719035635,51534,40003,TCP,1459963000120000.0,300.88,32,1792,background
2016-04-06 17:16:40,3626732371,719035659,64104,443,TCP,1459963000204000.0,299.796,8,320,background
2016-04-06 17:16:40,3542421158,719035635,36274,22011,TCP,1459963000404000.0,302.596,32,1792,background
2016-04-06 17:16:40,3564536693,719035635,37393,40003,TCP,1459963000564000.0,301.436,32,1792,background
2016-04-06 17:16:40,1160449115,719035635,59812,22011,TCP,1459963000612000.0,302.388,32,1792,background
2016-04-06 17:16:40,719034631,1023473346,53,53,UDP,1459963000644000.0,303.356,57,4659,background
2016-04-06 17:16:40,719034665,3680806824,443,50933,TCP,1459963000648000.0,243.352,15,4374,background
2016-04-06 17:16:40,3564322796,719035635,49615,22011,TCP,1459963000660000.0,302.34,32,1792,background
2016-04-06 17:16:40,719034665,3579785533,443,52237,TCP,1459963000660000.0,304.34,453,159700,background
2016-04-06 17:16:40,1158494299,719035635,51762,22011,TCP,1459963000712000.0,303.288,32,1792,background
2016-04-06 17:16:40,3177424723,719034999,443,33230,TCP,1459963000712000.0,300.288,21,1532,background
2016-04-06 17:16:40,1730456184,719036084,0,778,ICMP,1459963000724000.0,300.276,6,528,background
2016-04-06 17:16:40,2236949599,719035635,42463,22001,TCP,1459963000732000.0,301.268,32,1792,background
2016-04-06 17:16:40,1061206084,719036254,443,55173,TCP,1459963000860000.0,301.14,102,118375,background
2016-04-06 17:16:40,3379690934,719035635,52208,22001,TCP,1459963000860000.0,301.14,32,1792,background
2016-04-06 17:16:40,3680806824,719034665,50933,443,TCP,1459963000872000.0,266.128,16,836,background
2016-04-06 17:16:40,624992581,719035677,59119,443,TCP,1459963000872000.0,300.128,6,312,background
2016-04-06 17:16:40,719036342,719036381,0,0,ICMP,1459963000888000.0,300.112,55,3300,background
2016-04-06 17:16:40,3542552955,719035635,46018,22011,TCP,1459963000888000.0,302.112,32,1792,background
2016-04-06 17:16:40,1059904110,719035635,33296,22011,TCP,1459963000904000.0,302.096,32,1792,background
2016-04-06 17:16:40,3634326504,719035635,53187,22011,TCP,1459963000916000.0,302.084,32,1792,background
2016-04-06 17:16:40,2842648661,719035635,47211,22011,TCP,1459963000920000.0,302.08,32,1792,background
2016-04-06 17:16:40,1712432808,719035635,47967,22011,TCP,1459963000932000.0,302.068,32,1792,background
2016-04-06 17:16:40,2958053950,719035635,38091,22001,TCP,1459963000972000.0,302.028,32,1792,background
2016-04-06 17:16:40,3510592786,719035635,44617,22001,TCP,1459963000992000.0,302.008,32,1792,background
2016-04-06 17:16:41,3627900764,719035870,0,0,ICMP,1459963001012000.0,299.988,21,588,background
2016-04-06 17:16:41,3626827897,719035635,50962,22011,TCP,1459963001028000.0,285.972,31,1744,background
2016-04-06 17:16:41,719036116,1084428148,64105,62596,UDP,1459963001092000.0,298.908,146,20308,background
2016-04-06 17:16:41,2653058241,719035635,58180,22001,TCP,1459963001120000.0,301.88,34,1912,background
2016-04-06 17:16:41,3510592786,719035635,42068,22001,TCP,1459963001132000.0,301.868,32,1792,background
2016-04-06 17:16:41,3510193651,719035635,57808,22011,TCP,1459963001152000.0,302.848,32,1792,background
2016-04-06 17:16:41,1137623326,719035635,56882,22011,TCP,1459963001192000.0,302.808,32,1792,background
2016-04-06 17:16:41,3117538695,719034713,443,43037,TCP,1459963001200000.0,300.8,9,468,background
2016-04-06 17:16:41,719034713,3117538695,43037,443,TCP,1459963001208000.0,300.7920000000001,9,468,background
2016-04-06 17:16:41,3626827897,719035635,41206,22011,TCP,1459963001248000.0,285.752,30,1680,background
2016-04-06 17:16:41,714304114,719035635,34206,22011,TCP,1459963001280000.0,302.72,32,1792,background
2016-04-06 17:16:41,3681201828,719035635,46380,22011,TCP,1459963001364000.0,302.636,32,1792,background
2016-04-06 17:16:41,3391863279,719035635,37996,22001,TCP,1459963001472000.0,304.528,34,1916,background
2016-04-06 17:16:41,3564565950,719035635,28337,22011,TCP,1459963001548000.0,302.452,32,1792,background
2016-04-06 17:16:41,618839282,719035635,38398,40003,TCP,1459963001764000.0,301.236,32,1792,background
2016-04-06 17:16:41,2236949599,719035635,41001,22001,TCP,1459963001812000.0,301.188,32,1792,background
2016-04-06 17:16:41,3626590834,719035635,51968,22001,TCP,1459963001820000.0,301.18,32,1792,background
2016-04-06 17:16:41,3543532992,719035635,39061,22001,TCP,1459963001908000.0,301.092,32,1792,background
2016-04-06 17:16:41,2659247453,719035635,39607,22001,TCP,1459963001924000.0,285.076,30,1680,background
2016-04-06 17:16:41,1712432808,719035635,40697,22011,TCP,1459963001972000.0,302.028,32,1792,background
2016-04-06 17:16:41,637342525,719036341,0,0,ICMP,1459963001992000.0,300.008,11,352,background
2016-04-06 17:16:41,719036341,3496862548,0,2048,ICMP,1459963001996000.0,300.004,11,352,background
2016-04-06 17:16:41,719036341,637342525,0,2048,ICMP,1459963001996000.0,300.004,11,352,background
